Vital Measurement,Node 1,Node 2,Node 3,Node 4,Node 5,Diagnostic Triage,Actions
Blood Glucose,Critical,Chronic,Maintenance,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Acute,Standard,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Mental Status,Critical,Unstable,Regular,Routine,Code Blue,Immediate,Red flag - Immediate intervention required
Sensory Function,Moderate,Unstable,Normal,Standard,Routine care,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Stable,Normal,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Low,Progressive,Monitor,Watch,Monitor closely,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Normal,Normal,Standard,Maintenance,Monitor,Continue monitoring - Watch for changes
Mental Status,High,Acute,Resuscitation,Regular,Standard protocol,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,High,Acute,Critical,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Temperature,High,Hyperthermia,Resuscitation,Normal,Maintenance,Immediate,Red flag - Immediate intervention required
Temperature,Critical,Hyperthermia,Regular,Standard,Code Blue,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Moderate,Chronic,Baseline,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Hypertension,Baseline,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,High,Progressive,Immediate,Stabilize,Standard protocol,Immediate,Red flag - Immediate intervention required
Sensory Function,Low,Acute,Routine,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Motor Function,Critical,Acute,Baseline,Regular,Emergency Response,Immediate,Red flag - Immediate intervention required
Motor Function,High,Stable,Emergency,Routine,Prevention,Immediate,Red flag - Immediate intervention required
AVPU Score,High,Unstable,Urgent,Critical,Emergency Response,Immediate,Red flag - Immediate intervention required
Sensory Function,Low,Unstable,Follow-up,Normal,Maintenance,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Normal,Pre-hypertension,Regular,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Temperature,Normal,Hyperthermia,Baseline,Standard,Maintenance,Routine,Standard care - Follow routine protocol
Capillary Refill,Moderate,Acute,Normal,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Temperature,Normal,Hyperthermia,Maintenance,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Blood Glucose,Low,Unstable,Observe,Regular,Reassess,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Critical,Unstable,Maintenance,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Progressive,Standard,Regular,Prevention,Monitor,Continue monitoring - Watch for changes
Pupil Response,Moderate,Stable,Regular,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,Critical,Unstable,Maintenance,Standard,Call 911,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Acute,Baseline,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Motor Function,Critical,Acute,Maintenance,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Motor Function,Moderate,Progressive,Normal,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Acute,Critical,Routine,Rapid Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Progressive,Standard,Routine,Routine care,Routine,Standard care - Follow routine protocol
Capillary Refill,Low,Unstable,Follow-up,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Chronic,Baseline,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Respiratory Rate,Moderate,Unstable,Maintenance,Maintenance,Prevention,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Moderate,Chronic,Regular,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Pain Level,Low,Progressive,Watch,Assess,Reassess,Monitor,Continue monitoring - Watch for changes
Skin Color,Moderate,Stable,Normal,Routine,Standard protocol,Monitor,Continue monitoring - Watch for changes
Temperature,Normal,Hypothermia,Maintenance,Routine,Maintenance,Routine,Standard care - Follow routine protocol
Temperature,High,Hypothermia,Immediate,Emergency,Standard protocol,Immediate,Red flag - Immediate intervention required
Mental Status,High,Acute,Immediate,Rescue,Maintenance,Immediate,Red flag - Immediate intervention required
Pupil Response,Critical,Acute,Baseline,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Motor Function,High,Acute,Emergency,Routine,Routine care,Immediate,Red flag - Immediate intervention required
Blood Pressure,Moderate,Pre-hypertension,Baseline,Regular,Follow up,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Irregular,Maintenance,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Pain Level,Moderate,Stable,Maintenance,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
AVPU Score,Moderate,Progressive,Normal,Maintenance,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,High,Acute,Urgent,Stabilize,Rapid Response,Immediate,Red flag - Immediate intervention required
Temperature,Normal,Subnormal,Baseline,Regular,Standard protocol,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,High,Unstable,Urgent,Rescue,Call 911,Immediate,Red flag - Immediate intervention required
Blood Pressure,Critical,Hypertension,Maintenance,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Temperature,Normal,Normal,Standard,Normal,Follow up,Routine,Standard care - Follow routine protocol
Blood Glucose,High,Chronic,Emergency,Standard,Follow up,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Stable,Maintenance,Normal,Emergency Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Critical,Stable,Maintenance,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Temperature,High,Subnormal,Emergency,Routine,Standard protocol,Immediate,Red flag - Immediate intervention required
AVPU Score,Low,Progressive,Observe,Standard,Reassess,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Stable,Standard,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Moderate,Acute,Baseline,Normal,Prevention,Monitor,Continue monitoring - Watch for changes
Heart Rate,Normal,Tachycardia,Maintenance,Regular,Follow up,Routine,Standard care - Follow routine protocol
Mental Status,Low,Stable,Monitor,Check,Prevention,Monitor,Continue monitoring - Watch for changes
Sensory Function,Moderate,Acute,Normal,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Skin Color,Low,Unstable,Routine,Standard,Prevention,Monitor,Continue monitoring - Watch for changes
Skin Color,Low,Chronic,Watch,Watch,Follow protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Normal,Chronic,Baseline,Normal,Maintenance,Routine,Standard care - Follow routine protocol
Pain Level,Critical,Stable,Standard,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Sensory Function,High,Unstable,Immediate,Urgent,Emergency Response,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Chronic,Regular,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Oxygen Saturation,High,Progressive,Urgent,Critical,Rapid Response,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Low,Stable,Monitor,Watch,Monitor closely,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Low,Stable,Routine,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Blood Pressure,High,Pre-hypertension,Critical,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Chronic,Maintenance,Routine,Emergency Response,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Unstable,Resuscitation,Regular,Prevention,Immediate,Red flag - Immediate intervention required
Skin Color,Low,Stable,Routine,Routine,Prevention,Monitor,Continue monitoring - Watch for changes
Skin Color,Normal,Unstable,Maintenance,Routine,Standard protocol,Routine,Standard care - Follow routine protocol
Skin Color,High,Acute,Immediate,Rescue,Standard protocol,Immediate,Red flag - Immediate intervention required
Glasgow Coma Scale,Critical,Chronic,Baseline,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Sensory Function,High,Progressive,Resuscitation,Maintenance,Follow up,Immediate,Red flag - Immediate intervention required
Capillary Refill,High,Unstable,Critical,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Unstable,Standard,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Heart Rate,Moderate,Weak,Standard,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Low,Progressive,Observe,Standard,Document,Monitor,Continue monitoring - Watch for changes
Blood Pressure,Moderate,Hypertension,Normal,Standard,Standard protocol,Monitor,Continue monitoring - Watch for changes
Heart Rate,Moderate,Bradycardia,Baseline,Regular,Routine care,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Normal,Progressive,Baseline,Normal,Follow up,Routine,Standard care - Follow routine protocol
Capillary Refill,Low,Progressive,Monitor,Check,Maintenance,Monitor,Continue monitoring - Watch for changes
Pain Level,Critical,Acute,Baseline,Regular,Rapid Response,Immediate,Red flag - Immediate intervention required
Mental Status,Normal,Chronic,Regular,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Blood Glucose,Moderate,Progressive,Standard,Maintenance,Follow up,Monitor,Continue monitoring - Watch for changes
Glasgow Coma Scale,Critical,Acute,Regular,Normal,Code Blue,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Critical,Unstable,Normal,Maintenance,Rapid Response,Immediate,Red flag - Immediate intervention required
AVPU Score,Normal,Acute,Maintenance,Maintenance,Maintenance,Routine,Standard care - Follow routine protocol
Sensory Function,Critical,Chronic,Regular,Maintenance,Code Blue,Immediate,Red flag - Immediate intervention required
Capillary Refill,Normal,Stable,Normal,Routine,Prevention,Routine,Standard care - Follow routine protocol
Temperature,Moderate,Normal,Baseline,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Pupil Response,Normal,Chronic,Standard,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Glasgow Coma Scale,Low,Stable,Observe,Routine,Follow protocol,Monitor,Continue monitoring - Watch for changes
Mental Status,Critical,Acute,Maintenance,Regular,Call 911,Immediate,Red flag - Immediate intervention required
Mental Status,Low,Unstable,Monitor,Observe,Monitor closely,Monitor,Continue monitoring - Watch for changes
Capillary Refill,Low,Chronic,Observe,Normal,Monitor closely,Monitor,Continue monitoring - Watch for changes
Sensory Function,Critical,Stable,Regular,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Temperature,High,Fever,Immediate,Emergency,Standard protocol,Immediate,Red flag - Immediate intervention required
Oxygen Saturation,Moderate,Chronic,Maintenance,Regular,Standard protocol,Monitor,Continue monitoring - Watch for changes
Skin Color,High,Unstable,Immediate,Critical,Crash Cart,Immediate,Red flag - Immediate intervention required
Temperature,Low,Subnormal,Observe,Regular,Document,Monitor,Continue monitoring - Watch for changes
Capillary Refill,High,Acute,Urgent,Stabilize,Code Blue,Immediate,Red flag - Immediate intervention required
Pain Level,Moderate,Chronic,Baseline,Maintenance,Standard protocol,Monitor,Continue monitoring - Watch for changes
Pain Level,Normal,Progressive,Normal,Maintenance,Standard protocol,Routine,Standard care - Follow routine protocol
Pupil Response,Moderate,Chronic,Normal,Standard,Follow up,Monitor,Continue monitoring - Watch for changes
AVPU Score,Normal,Chronic,Baseline,Standard,Standard protocol,Routine,Standard care - Follow routine protocol
Respiratory Rate,Low,Chronic,Observe,Standard,Document,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,High,Chronic,Resuscitation,Routine,Prevention,Immediate,Red flag - Immediate intervention required
Blood Glucose,Critical,Progressive,Maintenance,Standard,Rapid Response,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Chronic,Maintenance,Regular,Code Blue,Immediate,Red flag - Immediate intervention required
Respiratory Rate,Moderate,Acute,Maintenance,Normal,Follow up,Monitor,Continue monitoring - Watch for changes
Blood Glucose,Normal,Stable,Baseline,Routine,Routine care,Routine,Standard care - Follow routine protocol
Mental Status,High,Stable,Emergency,Routine,Standard protocol,Immediate,Red flag - Immediate intervention required
Sensory Function,Normal,Unstable,Maintenance,Maintenance,Prevention,Routine,Standard care - Follow routine protocol
Temperature,High,Fever,Emergency,Maintenance,Follow up,Immediate,Red flag - Immediate intervention required
Sensory Function,Critical,Stable,Standard,Routine,Crash Cart,Immediate,Red flag - Immediate intervention required
Motor Function,Normal,Unstable,Regular,Standard,Prevention,Routine,Standard care - Follow routine protocol
Temperature,Critical,Hyperthermia,Normal,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
Skin Color,Moderate,Progressive,Maintenance,Routine,Follow up,Monitor,Continue monitoring - Watch for changes
Respiratory Rate,Normal,Chronic,Baseline,Maintenance,Follow up,Routine,Standard care - Follow routine protocol
Oxygen Saturation,Critical,Unstable,Maintenance,Regular,Crash Cart,Immediate,Red flag - Immediate intervention required
Respiratory Rate,High,Progressive,Critical,Standard,Crash Cart,Immediate,Red flag - Immediate intervention required
